[H]C([H])([H])[!#1],bend3,900,1150,m,UNK,UNK,ATMOS,principal,CH3,Rocking,
[H]C([H])([H])[!#1],bend,1375,1375,m,UNK,UNK,ISAT,principal,CH3,Alkanes,
[H]C([H])([H])[!#1],bend,1370,1390,m,UNK,UNK,ir.pdf,principal,CH3,Alkanes,
[H]C([H])([H])[!#1],bend,1370,1390,m,UNK,UNK,05 IR chart,principal,CH3,Alkanes,
[H]C([H])([H])[!#1],bend2,1450,1450,m,UNK,UNK,ISAT,principal,C-H,Alkanes,
[H]C([H])([H])[!#1],stretch,2850,3000,s,UNK,UNK,ir.pdf,principal,CH3,Alkanes,
[H]C([H])([H])C([!#1])([!#1])C([H])([H])[H],bend2,1365,1370,m,UNK,UNK,ISAT,principal,C-H,Alkanes,
[H]C([H])([H])C([!#1])([!#1])C([H])([H])[H],bend,1380,1385,m,UNK,UNK,ISAT,principal,C-H,Alkanes,
[H]C([H])([H])C([!#1])(C([H])([H])[H])C([H])([H])[H],bend,1365,1365,m,UNK,UNK,05 IR chart,principal,-(CH3)3,Alkanes/Alkyls,
[H]C([H])([H])C([!#1])(C([H])([H])[H])C([H])([H])[H],bend2,1395,1395,m,UNK,UNK,05 IR chart,principal,-(CH3)3,Alkanes/Alkyls,
[H]C([H])([H])C([H])([!#1])C([H])([H])[H],bend,1365,1365,m,UNK,UNK,05 IR chart,principal,-CH(CH3)2,Alkanes/Alkyls,
[H]C([H])([H])C([H])([!#1])C([H])([H])[H],bend2,1395,1395,m,UNK,UNK,05 IR chart,principal,-CH(CH3)2,Alkanes/Alkyls,
[H]C([H])([H])OC(=O)C,stretch,1240,1240,s,UNK,UNK,05 IR chart,principal,O=C-O-C,Esters acetates,
[H]C([H])=C([!#1])[!#1],bend,885,895,s,UNK,UNK,ISAT/05 IR Chart/ir.pdf,principal,=C-H,Alkenes,
[H]C([H])=C([!#1])[!#1],bend2,1410,1420,s,UNK,UNK,ir.pdf,principal,=C-H,Alkenes,
[H]C([H])=C([!#1])[!#1],bend3,1465,1465,m,UNK,UNK,ISAT,principal,C-H,Alkenes,
[H]C([H])=C([!#1])[!#1],stretch,1653,1653,m,UNK,UNK,ir.pdf,principal,C=C,Alkenes,
[H]C([H])=C([!#1])[!#1],stretch,1648,1658,m,UNK,UNK,ISAT,principal,C=C,Alkenes,
[H]C([H])=C([!#1])[!#1],stretch2,3075,3095,m,UNK,UNK,ir.pdf,principal,=C-H,Alkenes,
[H]C([H])=C([!#H])[!#H],stretch,3020,3100,m,UNK,sharp,ir.pdf,principal,=C-H2,Alkenes,
[H]C([H])=C([H])[!#1],bend,910,910,m,UNK,UNK,05 IR chart,principal,=C-H,Alkenes,
[H]C([H])=C([H])[!#1],bend,905,915,s,UNK,UNK,ISAT,principal,=C-H,Alkenes,
[H]C([H])=C([H])[!#1],bend,905,920,s,UNK,UNK,ir.pdf,principal,=C-H,Alkenes,
[H]C([H])=C([H])[!#1],bend2,990,990,s,UNK,UNK,05 IR chart,principal,=C-H,Alkenes,
[H]C([H])=C([H])[!#1],bend2,985,995,s,UNK,UNK,ISAT,principal,=C-H,Alkenes,
[H]C([H])=C([H])[!#1],bend2,985,1000,s,UNK,UNK,ir.pdf,principal,=C-H,Alkenes,
[H]C([H])=C([H])[!#1],bend3,1280,1320,m,UNK,UNK,ir.pdf,principal,=C-H,Alkenes,
[H]C([H])=C([H])[!#1],bend4,1410,1420,m,UNK,UNK,ir.pdf,principal,=C-H,Alkenes,
[H]C([H])=C([H])[!#1],stretch,1645,1645,m,UNK,UNK,ir.pdf,principal,C=C,Alkenes,
[H]C([H])=C([H])[!#1],stretch,1638,1648,s,UNK,UNK,ISAT,principal,C=C,Alkenes,
[H]C([H])=C([H])[!#1],stretch2,3010,3040,m,UNK,UNK,ir.pdf,principal,=C-H,Alkenes,
[H]C([H])=C([H])[!#1],stretch3,3075,3095,m,UNK,UNK,ir.pdf,principal,=C-H,Alkenes,
[H]C([H])=C([H])[!#H],UNK,UNK,UNK,UNK,UNK,UNK,ATMOS,associate [H]C([H])=C([!#H])[!#H],UNK,UNK,
[H]C([H])=C([H])[H],UNK,UNK,UNK,UNK,UNK,UNK,ATMOS,associate [H]C([H])=C([!#H])[!#H],UNK,UNK,
[H]C([H])=C([H])O\C([H])=C(/[H])[!#1],stretch,1200,1225,s,UNK,UNK,ISAT,principal,C-O,Ethers,
[H]C([H])=C([H])OC([!#1])=C([H])[H],UNK,UNK,UNK,UNK,UNK,UNK,ATMOS,associate [H]C([H])=C([H])O\C([H])=C(/[H])[!#1],UNK,UNK,
[H]C([H])=C([H])OC([H])=C([H])[H],UNK,UNK,UNK,UNK,UNK,UNK,ATMOS,associate [H]C([H])=C([H])O\C([H])=C(/[H])[!#1],UNK,UNK,
[H]C(=O)[!#1],bend,1380,1390,m,UNK,UNK,ISAT,principal,C-H,Aldehydes,
[H]C(=O)[!#1],stretch,1720,1740,s,UNK,UNK,ISAT/05 IR Chart/ir.pdf/spectables,principal,C=O,Aldehydes,
[H]C(=O)[!#1],stretch3,2700,2725,m-s,UNK,UNK,05 IR chart,principal,H-C=O,Aldehydes (dubious entry),
[H]C(=O)[!#1],stretch4,2700,2800,w,UNK,UNK,spectables,principal,C-H,Aldehydes,
[H]C(=O)[!#1],stretch5,2700,2800,w,UNK,UNK,spectables,principal,C-H,Aldehydes,
[H]C(=O)[!#1],stretch2,2695,2830,m,UNK,UNK,ISAT,principal,C-H,Aldehydes,
[H]C(=O)[!#1],stretch2,2690,2840,m,UNK,UNK,ir.pdf,principal,C-H,Aldehydes,
[H]C(=O)C([!#1])=C([!#1])[H],UNK,UNK,UNK,UNK,UNK,UNK,ATMOS,associate [H]C(=O)C([H])=C([!#1])[!#1],UNK,UNK,
[H]C(=O)C([!#1])=C([H])[H],UNK,UNK,UNK,UNK,UNK,UNK,ATMOS,associate [H]C(=O)C([H])=C([!#1])[!#1],UNK,UNK,
[H]C(=O)C([H])=C([!#1])[!#1],stretch,1675,1675,s,UNK,UNK,ir.pdf,principal,UNK,Aldehyde & Ketone,
[H]C(=O)C([H])=C([!#1])[H],UNK,UNK,UNK,UNK,UNK,UNK,ATMOS,associate [H]C(=O)C([H])=C([!#1])[!#1],UNK,UNK,
[H]C(=O)C([H])=C([H])[H],UNK,UNK,UNK,UNK,UNK,UNK,ATMOS,associate [H]C(=O)C([H])=C([!#1])[!#1],UNK,UNK,
[H]C(=O)C=C,stretch,1685,1710,s,UNK,UNK,05 IR chart,principal,C=O,Aldehydes,
[H]C(=O)C=C,stretch,1685,1710,s,UNK,UNK,ISAT,principal,C=O,Aldehydes,
[H]C(=O)C=C,stretch,1680,1715,s,UNK,UNK,spectables,principal,C=O,Aldehydes,
[H]C(H)=C([!#1])[!#1],bend,880,995,s,UNK,UNK,ir.pdf,principal,=C-H2,Alkenes,
[H]C#[!#1],UNK,UNK,UNK,UNK,UNK,UNK,ATMOS,associate [H]C#C[!#1],UNK,UNK,
[H]C#C[!#1],bend,600,700,s,UNK,broad,ir.pdf,associate ,_C-H,Alkynes,
[H]C#C[!#1],bend,610,700,s,UNK,broad,05 IR chart,principal,_C-H,Alkynes,
[H]C#C[!#1],bend2,1350,1450,w,UNK,UNK,ATMOS,principal,C_C,Alkynes,
[H]C#C[!#1],stretch4,3300,3300,m,UNK,sharp,ir.pdf,principal,_C-H,Alkynes,
[H]C#C[!#1],stretch4,3200,3310,m,UNK,sharp,spectables,principal,_C-H,Alkynes (dubious entry),
[H]C#C[!#1],stretch4,3267,3333,m,UNK,sharp,05 IR chart,principal,_C-H,Alkynes,
[H]C#C[!#1],stretch4,3265,3335,m,UNK,sharp,05 IR chart/ATMOS,principal,_C-H,Alkynes,
[H]C1([H])C(=O)C([H])([!#1])C1([H])[H],UNK,UNK,UNK,UNK,UNK,UNK,ATMOS,associate [H]C1([H])C(=O)C([H])([H])C1([H])[H],UNK,UNK,
[H]C1([H])C(=O)C([H])([H])C([H])([H])C1([H])[H],stretch,1745,1745,s,UNK,UNK,ir.pdf,principal,UNK,Aldehydes & Ketones,
[H]C1([H])C(=O)C([H])([H])C1([H])[!#1],UNK,UNK,UNK,UNK,UNK,UNK,ATMOS,associate [H]C1([H])C(=O)C([H])([H])C1([H])[H],UNK,UNK,
[H]C1([H])C(=O)C([H])([H])C1([H])[H],stretch,1780,1780,s,UNK,UNK,ir.pdf,principal,UNK,Aldehydes & Ketones,
[H]C1=C([H])C([H])=C([H])C([H])=C1[H],bend,690,900,M-s,UNK,UNK,ir.pdf,principal,C-H,Arenes,
[H]C1=C([H])C([H])=C([H])C([H])=C1[H],stretch2,1500,1500,w-m,UNK,UNK,ir.pdf,principal,C=C,Arenes,
[H]C1=C([H])C([H])=C([H])C([H])=C1[H],stretch3,1600,1600,w-m,UNK,UNK,ir.pdf,principal,C=C,Arenes,
[H]C1=C([H])C([H])=C([H])C([H])=C1[H],stretch,3030,3030,m,UNK,UNK,ir.pdf,principal,C-H,Arenes,
[H]N([!#1])[!#1],stretch,660,900,m,UNK,UNK,ir.pdf,principal,N-H,Amines,
[H]N([!#1])[!#1],stretch2,3310,3350,w,UNK,UNK,ISAT,principal,N-H,Amines,
[H]N([!#1])[!#1],stretch2,3310,3350,w,UNK,UNK,05 IR chart,principal,N-H,Amines,
[H]N([!#1])[!#1],stretch2,3300,3400,w,UNK,UNK,ir.pdf,principal,N-H,Amines,
[H]N([!#1])[!#1],stretch2,3250,3550,w,UNK,broad,spectables,principal,N-H,Amines,
[H]N([!#1])C(=O)C,bend,1500,1560,m,UNK,UNK,ir.pdf,general,N-H,Amines,
[H]N([!#1])C(=O)C,bend,1510,1560,m-s,UNK,UNK,05 IR chart,general,N-H,Amines,
[H]N([!#1])C(=O)C,stretch,3400,3500,w-m,UNK,UNK,05 IR chart,general,N-H,Amines,
[H]N([!#1])C(=O)C,stretch2,3150,3500,m,UNK,UNK,spectables,general,N-H,Amines,
[H]N([!#1])C(C)=O,stretch2,1640,1640,s,UNK,UNK,ISAT,general,C=O,Amides,
[H]N([!#1])C(C)=O,stretch,1680,1680,s,UNK,UNK,ISAT,general,C=O,Amides,
[H]N([!#1])C(C)=O,stretch3,1640,1690,s,UNK,broad,05 IR chart,general,C=O,Amides (dubious entry),
[H]N([H])[!#1],bend2,660,900,m,UNK,UNK,ir.pdf,principal,NH2,Amines,
[H]N([H])[!#1],bend,1580,1650,m,UNK,UNK,ISAT,principal,NH2,Amines,
[H]N([H])[!#1],bend,1550,1650,M-s,UNK,UNK,ir.pdf,principal,NH2,Amines,
[H]N([H])[!#1],bend,1580,1650,w-m,UNK,UNK,05 IR chart,principal,NH2,Amines,
[H]N([H])[!#1],stretch3,3250,3330,m,UNK,UNK,ISAT,principal,NH2,Amines,
[H]N([H])[!#1],sstretch,3400,3400,m,UNK,UNK,ISAT,principal,NH2,Amines,
[H]N([H])[!#1],sstretch,3400,3400,w,UNK,UNK,ir.pdf,principal,NH2,Amines,
[H]N([H])[!#1],stretch4,3300,3400,m,UNK,UNK,ISAT,principal,NH2,Amines,
[H]N([H])[!#1],astretch,3500,3500,m,UNK,UNK,ISAT,principal,NH2,Amines,
[H]N([H])[!#1],astretch,3500,3500,w,UNK,UNK,05 IR chart,principal,NH2,Amines,
[H]N([H])[!#1],stretch2,3250,3550,m,UNK,broad,spectables,principal,NH2,Amines,
[H]N([H])C(=O)C,bend,1590,1650,m,UNK,UNK,ir.pdf,principal,N-H,Amines,
[H]N([H])C(=O)C,bend,1590,1655,M-s,UNK,UNK,05 IR chart,principal,N-H,Amines,
[H]N([H])C(=O)C,sstretch,3200,3400,w-m,UNK,UNK,05 IR chart,principal,N-H,Amines,
[H]N([H])C(=O)C,astretch,3400,3500,w-m,UNK,UNK,05 IR chart,principal,N-H,Amines,
[H]N([H])C(=O)C,stretch,3150,3500,m,UNK,UNK,spectables,principal,N-H,Amines,
[H]N([H])C(C)=O,stretch2,1650,1650,s,UNK,UNK,ISAT,principal,N-H,Amides,
[H]N([H])C(C)=O,stretch,1690,1690,s,UNK,UNK,ISAT,principal,N-H,Amides,
[H]N([H])C(C)=O,stretch3,1650,1690,s,UNK,broad,05 IR chart,principal,N-H,Amides (dubious entry),
[H]OC,bend,650,770,w,UNK,UNK,ir.pdf,general,O-H,Alcohols & Phenols,int reduced from m
[H]OC,stretch,970,1250,w,UNK,UNK,ir.pdf,general,C-O,Alcohols & Phenols,int reduced from m
[H]OC,stretch2,1000,1300,w,UNK,UNK,spectables,general,C-O,Alcohols & Esters & Carboxylic Acids,int reduced from m
[H]OC,bend2,1330,1420,w,UNK,UNK,ISAT,general,C-O,Alcohols,int reduced from m
[H]OC,bend2,1330,1430,w,UNK,UNK,ir.pdf,general,C-O,Alcohols & Phenols,int reduced from m
[H]OC,stretch3,2700,3200,w,UNK,broad,ISAT/ATMOS,general,O-H,Alcohols,int reduced from m
[H]OC,stretch6,3550,3650,w,UNK,sharp,spectables,general,O-H,Alcohols,int reduced from m
[H]OC,stretch6,3580,3650,w,UNK,sharp,ir.pdf,general,O-H,Alcohols & Phenols,int reduced from m
[H]OC,stretch7,3584,3700,w,UNK,sharp,ISAT,general,O-H,Alcohols,int reduced from m
[H]OC([!#1])([!#1])[!#1],stretch,1125,1205,M-s,UNK,UNK,05 IR chart,principal,C-O,Alcohols,
[H]OC([!#1])([!#1])[!#1],stretch,1124,1205,s,UNK,UNK,ISAT,principal,C-O,Alcohols,
[H]OC([!#1])([!#1])C(\[H])=C(/[H])[H],stretch,1085,1125,M-s,UNK,UNK,05 IR chart,principal,C-O,Alcohols,
[H]OC([!#1])([H])C([!#1])=C([H])[H],UNK,UNK,UNK,UNK,UNK,UNK,ATMOS,associate [H]OC([!#1])([H])C(\[H])=C(/[H])[!#1],UNK,UNK,
[H]OC([!#1])([H])C(\[H])=C(/[H])[!#1],stretch,1085,1125,M-s,UNK,UNK,05 IR chart,principal,C-O,Alcohols,
[H]OC([!#1])([H])C(\[H])=C(/[H])[H],UNK,UNK,UNK,UNK,UNK,UNK,ATMOS,associate [H]OC([!#1])([H])C(\[H])=C(/[H])[!#1],UNK,UNK,
[H]OC([H])([!#1])[!#1],stretch,1087,1124,s,UNK,UNK,ISAT,principal,C-O,Alcohols,
[H]OC([H])([!#1])[!#1],stretch,1085,1125,M-s,UNK,UNK,05 IR chart,principal,C-O,Alcohols,
[H]OC([H])([H])[!#1],stretch,1050,1085,M-s,UNK,UNK,05 IR chart,principal,C-O,Alcohols,
[H]OC([H])([H])[!#1],stretch,1050,1085,s,UNK,UNK,ISAT,principal,C-O,Alcohols,
[H]OC([H])([H])C([!#1])=C([H])[H],UNK,UNK,UNK,UNK,UNK,UNK,ATMOS,associate [H]OC([H])([H])C([H])=C([!#1])[!#1],UNK,UNK,
[H]OC([H])([H])C([H])=C([!#1])[!#1],stretch,1035,1050,M-s,UNK,UNK,05 IR chart,principal,C-O,Alcohols,
[H]OC([H])([H])C([H])=C([H])[H],UNK,UNK,UNK,UNK,UNK,UNK,ATMOS,associate [H]OC([H])([H])C([H])=C([!#1])[!#1],UNK,UNK,
[H]OC([H])([H])C(\[!#1])=C(/[H])[!#1],UNK,UNK,UNK,UNK,UNK,UNK,ATMOS,associate [H]OC([H])([H])C([H])=C([!#1])[!#1],UNK,UNK,
[H]OC([H])([H])C(\[H])=C(/[H])[!#1],UNK,UNK,UNK,UNK,UNK,UNK,ATMOS,associate [H]OC([H])([H])C([H])=C([!#1])[!#1],UNK,UNK,
[H]OC(=O)C,bend,1395,1440,m,UNK,UNK,ISAT,principal,O-H,Carboxylic Acids,
[H]OC(=O)C,stretch,2500,3200,s,UNK,broad,spectables,principal,O-H,Carboxylic Acids,
[H]OC(=O)C,stretch,2500,3300,s,UNK,broad,ISAT,principal,O-H,Carboxylic Acids,
[H]OC(=O)C,stretch,2500,3300,s,UNK,broad,ir.pdf,principal,O-H,Carboxylic Acids,
[H]OC(=O)C,stretch,2500,3500,s,UNK,broad,05 IR chart,principal,O-H,Carboxylic Acids,
[H]OC(=O)C=C,stretch,1680,1710,s,UNK,UNK,05 IR chart,principal,C=O,Carboxylic Acids,
[H]OC(=O)C=C,stretch,1680,1715,s,UNK,UNK,spectables,principal,C=O,Carboxylic Acids,
[H]OC(C)=O,stretch,1710,1715,s,UNK,UNK,05 IR chart,principal,C=O,Carboxylic Acids,
[H]OC(C)=O,stretch,1705,1720,s,UNK,UNK,ir.pdf,principal,C=O,Carboxylic Acids,
[H]OC(C)=O,stretch,1700,1725,s,UNK,UNK,spectables,principal,C=O,Carboxylic Acids,
[H]OC(C)=O,stretch2,1760,1760,s,UNK,UNK,ISAT,principal,C=O,Carboxylic Acids,
[H]ON=C,stretch,930,960,m,UNK,UNK,ir.pdf,principal,N-O,oxime,
[H]ON=C,stretch2,1650,1680,m,UNK,UNK,ir.pdf,principal,C=N,oxime,
[H]ON=C,stretch2,1640,1690,m,UNK,UNK,ISAT,principal,C=N,oxime,
[H]ON=C,stretch3,3550,3600,s,UNK,UNK,ir.pdf,principal,O-H,oxime,
[H]OP([H])([!#1])=O,stretch,2550,2700,m,UNK,UNK,ir.pdf,principal,(O=)PO-H,phosphonic acid,
[H]OP(=O)(O[H])OC([H])([H])[H],stretch,900,1050,s,UNK,UNK,ir.pdf,principal,P-OR,Esters,
[N+][O-],stretch,940,980,m,UNK,UNK,ir.pdf,principal,N-O,amine oxide,
BrC(=O)C=C,UNK,UNK,UNK,UNK,UNK,UNK,ATMOS,associate ClC(=O)C=C,UNK,UNK,
C[H],bend,1340,1395,w-m,UNK,UNK,spectables,principal,C-H,Alkanes,muted when carbon is triple bonded
C[H],bend2,1450,1470,s,UNK,UNK,05 IR chart,principal,C-H,Alkanes,muted when carbon is triple bonded
C[H],bend2,1430,1480,w-m,UNK,UNK,spectables,principal,C-H,Alkanes,muted when carbon is triple bonded
C[H],stretch,2850,2990,M-s,UNK,UNK,spectables,principal,C-H,Alkanes,muted when carbon is triple bonded
C[H],stretch,2850,3000,s,UNK,UNK,05 IR chart,principal,C-H,Alkanes,muted when carbon is triple bonded
C[H],stretch,2850,3000,s,UNK,UNK,ir.pdf,principal,C-H,Alkanes,muted when carbon is triple bonded
C#C,stretch,2100,2250,m,UNK,UNK,ir.pdf,principal,C_C,Alkynes,
C#C,stretch,2100,2250,w-m,UNK,UNK,spectables,principal,C_C,Alkynes,
C#N,stretch,2240,2260,m,UNK,UNK,ir.pdf,principal,C_N,Nitriles,
C#N,stretch,2222,2260,w,UNK,UNK,ISAT,principal,C_N,Nitriles,
C#N,stretch,2200,2280,s,UNK,UNK,spectables,principal,C_N,Nitriles,
C=C,stretch,1640,1670,w,UNK,UNK,05 IR chart/ATMOS,principal,C=C,Alkenes,
C=C,stretch,1630,1680,w,UNK,UNK,ir.pdf/ATMOS,principal,C=C,Alkenes,
C=C,stretch,1620,1680,w,UNK,UNK,spectables/ATMOS,principal,C=C,Alkenes,
C=C=C,stretch,1900,2000,m,UNK,UNK,ISAT,general,C=C=C,allene,
C=C=O,stretch,2150,2150,m,UNK,UNK,ISAT,general,C=C=O,ketenes,
C=C=O,stretch2,2100,2270,m,UNK,UNK,ir.pdf,general,C=C=O,ketenes,
C=CC=C,stretch,1600,1650,m,UNK,UNK,ISAT,general,C=C,Alkenes,
C=CC=C,stretch,1600,1650,w-m,UNK,UNK,spectables,general,C=C,Alkenes,
C=CN(=O)=O,astretch,1335,1335,s,UNK,UNK,05 IR chart,general,N-O,Nitro Compounds,
C=CN(=O)=O,sstretch,1525,1525,s,UNK,UNK,05 IR chart,general,N-O,Nitro Compounds,
CBr,stretch,500,680,s,UNK,UNK,05 IR chart,principal,C-Br,Alkyl halides,
CBr,stretch,515,690,s,UNK,UNK,ISAT,principal,C-Br,halo compound,
CC(=O)C=C,stretch,1610,1620,s,UNK,UNK,ISAT,general,C=C,Ketones,
CC(=O)C=C,stretch2,1665,1685,s,UNK,UNK,05 IR chart,general,C=O,Ketones,
CC(=O)C=C,stretch2,1666,1685,s,UNK,UNK,ISAT,general,C=O,Ketones,
CC(=O)C=C,stretch2,1665,1700,s,UNK,UNK,spectables,general,C=O,Ketones,
CC(Br)=O,UNK,UNK,UNK,UNK,UNK,UNK,ATMOS,associate CC(Cl)=O,UNK,UNK,
CC(C)=O,stretch,1710,1720,s,UNK,UNK,05 IR chart,general,C=O,Ketones,
CC(C)=O,stretch,1710,1720,s,UNK,UNK,ir.pdf,general,C=O,Ketones,
CC(C)=O,stretch,1705,1750,s,UNK,UNK,spectables,general,C=O,Ketones,
CC(C)=S,stretch,1050,1200,s,UNK,UNK,ir.pdf,general,C=S,thiocarbonyl,
